ברקוד,מותג,יצרן,שם מוצר,מועד עדכון ברקודים,סטאטוס סימון,category
7290000070322.0,אסם,אסם,אסם אב.מרק פטריות רכיבים טבעיים 6*400ג,ברקודים חדשים,,Groceries
7290000070353.0,אסם,אסם,אסם אבקת מרק בצל רכיבים טבעיים 6*400ג,ברקודים חדשים,,Vegetables
7290000070520.0,אסם,אסם,אסם מרק ירקות מגזר ערבי6 12*50גרם,ברקודים חדשים,,Vegetables
7290000070919.0,אסם,אסם,אסם בייגלה רשתות מלח 9*400גרם,ברקודים חדשים,,Fruits
7290000071008.0,אסם,אסם,אסם בייגלה שטוחים מלח 24*60גרם,ברקודים חדשים,,Groceries
7290000072067.0,אסם,אסם,במבה במילוי קרם חלבה 36*60גרם,ברקודים חדשים,,Dairy
7290000072203.0,אסם,אסם,אסם רוטב אלף האיים לסלט 9*290מל,ברקודים חדשים,,Groceries
7290000072227.0,אסם,אסם,אסם רוטב סויה בסגנון סיני 9*290מל-חדש,ברקודים חדשים,,Groceries
7290000072241.0,אסם,אסם,אסם רוטב פיצה 9*290מל,ברקודים חדשים,,Groceries
7290000072593.0,אסם,אסם,לחמית חיטה מלאה דבש 10*200גרם,ברקודים חדשים,,Groceries
7290000072623.0,אסם,אסם,אסם קטשופ בקבוק לחיץ 9*750גרם-חדש,ברקודים חדשים,,Pantry
7290000072630.0,אסם,אסם,אסם קטשופ חריף 9*750גרם 2015,ברקודים חדשים,,Pantry
7290000072654.0,אסם,אסם,ג'לי תות מארז לרמאדן 12 4*90גרם,ברקודים חדשים,,Fruits
7290000072692.0,אסם,אסם,אסם רוטב ספגטי 6*500גרם,ברקודים חדשים,,Groceries
7290000072890.0,אסם,אסם,אסם רוטב אלף האיים לייט 9*290מל,ברקודים חדשים,,Groceries
7290000072913.0,אסם,אסם,אסם רוטב שום לייט 9*290מל,ברקודים חדשים,,Groceries
7290000073125.0,אסם,אסם,מנה חמה פסטה עם עגבניות ר.טבע. בדץ12*62ג,ברקודים חדשים,,Grains
7290000073415.0,אסם,אסם,מנה חמה פסטה ברוטב פיצה 12*61גרם,ברקודים חדשים,,Grains
7290000073699.0,אסם,אסם,סלטי צבר חומוס חלק 6*150גרם,ברקודים חדשים,,Groceries
7290000073835.0,אסם,אסם,ציפסי מאח.12 4*50גרם,ברקודים חדשים,,Groceries
7290000073972.0,אסם,אסם,סלטי צבר טחינה 6*150ג,ברקודים חדשים,,Pantry
7290000074153.0,אסם,אסם,אסם פתי בר שוקו 12*500גרם,ברקודים חדשים,,Groceries
7290000074177.0,אסם,אסם,אסם פתי בר 12*250גרם,ברקודים חדשים,,Groceries
7290000074184.0,אסם,אסם,אסם פתי בר 12*500גרם,ברקודים חדשים,,Groceries
7290000074245.0,אסם,אסם,אסם קרם קרקר 12*250גרם,ברקודים חדשים,,Groceries
7290000074245.0,אסם,אסם,אסם קרם קרקר קדמ.מדבקה 12*250גרם,ברקודים חדשים,,Groceries
7290000074252.0,אסם,אסם,אסם קרקר שומשום 12*250גרם,ברקודים חדשים,,Groceries
7290000074276.0,אסם,אסם,אסם קרקר פיקנטי 12*250גרם,ברקודים חדשים,,Groceries
7290000074290.0,אסם,אסם,לחמית סובין חיטה 10*230גרם,ברקודים חדשים,,Groceries
7290000074337.0,אסם,אסם,לחמית חיטה מלאה דל נתרן 10*250גרם,ברקודים חדשים,,Groceries
7290000074375.0,אסם,אסם,אסם קרקר זהב 12*150גרם,ברקודים חדשים,,Groceries
7290000074375.0,אסם,אסם,אסם קרקר זהב קדמ מדבקה 12*150גרם,ברקודים חדשים,,Groceries
7290000074481.0,אסם,אסם,לחמית אגוזים 12*160גרם,ברקודים חדשים,,Groceries
7290000074641.0,אסם,אסם,סלטי צבר כרוב אדום 6*140גרם,ברקודים חדשים,,Groceries
7290000074658.0,אסם,אסם,אסם פתי בר 4*1קג,ברקודים חדשים,,Groceries
7290000074696.0,אסם,אסם,אסם קרם קרקר 4*1קג חדש,ברקודים חדשים,,Groceries
7290000074702.0,אסם,אסם,אסם קרקר שומשום 4*1קג,ברקודים חדשים,,Groceries
7290000074733.0,אסם,אסם,לחמית סובין חיטה 4*920גרם,ברקודים חדשים,,Groceries
7290000074740.0,אסם,אסם,לחמית חיטה מלאה 4*1קג חדש,ברקודים חדשים,,Groceries
7290000074764.0,אסם,אסם,אסם קרקר זהב 4*900גרם,ברקודים חדשים,,Groceries
7290000075143.0,אסם,אסם,אסם עוגיות שוקוצ'יפס קלאסי 12*200גרם,ברקודים חדשים,,Bakery
7290000075204.0,אסם,אסם,לחמית חיטה מלאה 10*250גרם חדש,ברקודים חדשים,,Groceries
7290000075204.0,אסם,אסם,לחמית חיטה מלאה קדמ מדבקה 10*250גרם,ברקודים חדשים,,Groceries
7290000075693.0,אסם,אסם,הבית עוגת שמרים בריוש שוקולד 8*360גרם,ברקודים חדשים,,Groceries
7290000076126.0,אסם,אסם,אסם בייגלה שמיניות קטנות 24*80גרם,ברקודים חדשים,,Groceries
7290000076133.0,אסם,אסם,אסם בייגלה שמיניות קטנות 12*400גרם,ברקודים חדשים,,Groceries
7290000077017.0,אסם,אסם,אסם קרמוגית במילוי שוקולד 12*200גרם,ברקודים חדשים,,Groceries
7290000077253.0,אסם,אסם,לחמית כפרית 12*190גרם,ברקודים חדשים,,Groceries
7290000077253.0,אסם,אסם,לחמית כפרית קדמ.מדבקה 12*190ג.2017,ברקודים חדשים,,Groceries
7290000077642.0,אסם,אסם,אסם ג'לי תות צבעים טבעיים 6*1קג,ברקודים חדשים,,Fruits
7290000079233.0,אסם,אסם,אסם קרם קרקר דל נתרן 12*250גרם,ברקודים חדשים,,Groceries
7290000080000.0,אסם,אסם,אסם אורז ספרדי 6*140גרם-חדש,ברקודים חדשים,,Grains
7290000080512.0,אסם,אסם,צבר סלט תפוח אדמה 6*400גרם-חדש,ברקודים חדשים,,Vegetables
7290000080536.0,אסם,אסם,צבר חציל בטעם כבד רפי 6*400גרם-חדש,ברקודים חדשים,,Groceries
7290000081168.0,אסם,אסם,צ'יפסי בטעם קלאסי בדצ 30*50גרם,ברקודים חדשים,,Groceries
7290000081663.0,אסם,אסם,אסם בייגלה טבעות שומשום 12*300גרם,ברקודים חדשים,,Groceries
7290000110035.0,יוניליוור,בלו-בנד,בלו-בנד מרגרינה רגילה עם מלח 200 גרם,ברקודים חדשים,מסמן בפועל,Groceries
7290000110059.0,יוניליוור,בלו-בנד,בלו-בנד מרגרינה רגילה בלי מלח 200 גרם,ברקודים חדשים,מסמן בפועל,Groceries
7290000110073.0,יוניליוור,בלו-בנד,בלו-בנד מרגרינה רגילה בטעם חמאה 200 גרם,ברקודים חדשים,מסמן בפועל,Groceries
7290000110844.0,יוניליוור,תלמה,כיפלי גריל בדצ 70גר,ברקודים חדשים,מסמן בפועל,Groceries
7290000110851.0,יוניליוור,תלמה,כיפלי בצל 70גר,ברקודים חדשים,מסמן בפועל,Vegetables
7290000111063.0,יוניליוור,תלמה,תלמה מיונז רגיל אמיתי 250 גרם,ברקודים חדשים,מסמן בפועל,Pantry
7290000111117.0,יוניליוור,בדין,בדין לבן 4 ליטר,ברקודים חדשים,,Groceries
7290000111117.0,יוניליוור,בדין,בדין לבן 4 ליטר,ברקודים חדשים,,Groceries
7290000111162.0,יוניליוור,תלמה,תלמה כמויונז מופחת שומן 500 גרם,ברקודים חדשים,מסמן בפועל,Groceries
7290000111186.0,יוניליוור,תלמה,תלמה רגיל מיונז אמיתי 500 גרם,ברקודים חדשים,מסמן בפועל,Pantry
7290000111353.0,יוניליוור,תלמה,מיונז 1קג,ברקודים חדשים,מסמן בפועל,Pantry
7290000111360.0,יוניליוור,תלמה,תלמה חרדל 250 גרם,ברקודים חדשים,מסמן בפועל,Groceries
7290000111384.0,יוניליוור,תלמה,תלמה חרדל 550 גרם,ברקודים חדשים,מסמן בפועל,Groceries
7290000112497.0,יוניליוור,קנור,מרקים רגיל אחר קנור עוף עם אטריות 68 גרם,ברקודים חדשים,מסמן בפועל,Meat
7290000112503.0,יוניליוור,קנור,מרקים רגיל אחר קנור עשיר ירקות כפרי 61גר,ברקודים חדשים,מסמן בפועל,Vegetables
7290000112510.0,יוניליוור,קנור,מרקים רגילים אחרים קנור פטריות 83 גרם,ברקודים חדשים,מסמן בפועל,Groceries
7290000112619.0,יוניליוור,קנור,קנור מרקי תיבול טעם עוף 400 גרם,ברקודים חדשים,מסמן בפועל,Meat
7290000112770.0,יוניליוור,קנור,מרק עשיר קנור-אפונה 117 גר,ברקודים חדשים,מסמן בפועל,Groceries
7290000113180.0,יוניליוור,תלמה,כיפלי צ'יפסים בדץ 50גר,ברקודים חדשים,מסמן בפועל,Groceries
7290000113203.0,יוניליוור,תלמה,כיפלי צ'יפסים בדץ 50גר,ברקודים חדשים,מסמן בפועל,Groceries
7290000113654.0,יוניליוור,קנור,מרקי אינסטנט אחרים קנור ירקות 34 גרם,ברקודים חדשים,מסמן בפועל,Vegetables
7290000114187.0,יוניליוור,סיף,סיף ניקוי כללי אורנים 4ל,ברקודים חדשים,,Groceries
7290000116136.0,יוניליוור,דאב,דאב קרם ידיים יבש 100ML,ברקודים חדשים,,Groceries
7290000116204.0,יוניליוור,קנור,קנור בויון דגש 1 קג,ברקודים חדשים,מסמן בפועל,Groceries
7290000116884.0,יוניליוור,קנור,רוטב ברביקיו 350 גר,ברקודים חדשים,מסמן בפועל,Groceries
7290000116921.0,יוניליוור,קנור,רוטב צ'ילי מתוק 380 גר,ברקודים חדשים,מסמן בפועל,Groceries
7290000116945.0,יוניליוור,קנור,קנור רוטב סויה 340 גרם,ברקודים חדשים,מסמן בפועל,Groceries
7290000117171.0,יוניליוור,קנור,מרקי אינסטנט אחרים קנור בטעם עוף 48 גרם,ברקודים חדשים,מסמן בפועל,Meat
7290000117720.0,יוניליוור,קנור,מרקי אינסטנט אחרים קנור פטריות 43 גרם,ברקודים חדשים,מסמן בפועל,Groceries
7290000118277.0,יוניליוור,קנור,קניידלך 130 גר,ברקודים חדשים,מסמן בפועל,Groceries
7290000118307.0,יוניליוור,קנור,קנור סחלב 112 גרם,ברקודים חדשים,מסמן בפועל,Dairy
7290000120560.0,יוניליוור,קליק,קליק חטיפי שוקולד טבלאות 85 גרם,ברקודים חדשים,מסמן בפועל,Groceries
7290000120577.0,יוניליוור,קליק,קליק חטיפי שוקולד טבלאות 85 גרם,ברקודים חדשים,מסמן בפועל,Groceries
7290000121239.0,יוניליוור,תלמה,תלמה מיונז מופחת שומן מיוקל 500 גרם,ברקודים חדשים,מסמן בפועל,Pantry
7290000121369.0,יוניליוור,778,778 ריבות קונפיטורות לייט 300 גרם,ברקודים חדשים,מסמן בפועל,Groceries
7290000121376.0,יוניליוור,778,778 ריבות קונפיטורות לייט 300 גרם,ברקודים חדשים,מסמן בפועל,Groceries
7290000121383.0,יוניליוור,778,778 ריבות קונפיטורות לייט 300 גרם,ברקודים חדשים,מסמן בפועל,Groceries
7290000122175.0,יוניליוור,אפיכול,תמצית וניל 50גר,ברקודים חדשים,מסמן בפועל,Groceries
7290000122243.0,יוניליוור,אפיכול,תמצית רום 50גר,ברקודים חדשים,מסמן בפועל,Groceries
7290000122649.0,יוניליוור,פתית,"פתית בצל בד""צ חדש 250 גר",ברקודים חדשים,מסמן בפועל,Vegetables
7290000122687.0,יוניליוור,אפיכול,אפיכול סירופ לעוגה גלידה קמעונאי 600 גרם,ברקודים חדשים,מסמן בפועל,Bakery
7290000122700.0,יוניליוור,אפיכול,אפיכול סירופ לעוגה גלידה קמעונאי 600 גרם,ברקודים חדשים,מסמן בפועל,Bakery
7290000122830.0,יוניליוור,קנור,רוטב סצ'ואן 370 גר,ברקודים חדשים,מסמן בפועל,Groceries
7290000123110.0,יוניליוור,מזולה,מרגרינה דלת שומן מזולה לייט 250 גרם,ברקודים חדשים,מסמן בפועל,Groceries
7290000123158.0,יוניליוור,מזולה,מזולה טעם חמאה 250 גר,ברקודים חדשים,מסמן בפועל,Groceries
7290000123172.0,יוניליוור,מזולה,מרגרינה רגילה מזולה 250 גרם,ברקודים חדשים,מסמן בפועל,Groceries
7290000123257.0,יוניליוור,מזולה,מזולה עם שמן זית 250 גר,ברקודים חדשים,מסמן בפועל,Pantry
7290000123363.0,יוניליוור,אפיכול,אפיכול מרכיבי אפיה צמקאו קמעונאי 500 גרם,ברקודים חדשים,מסמן בפועל,Groceries
7290000124841.0,יוניליוור,ורד הגליל,ורד הגליל טבלאות שוקולד 300 גרם,ברקודים חדשים,מסמן בפועל,Groceries
7290000125251.0,יוניליוור,בדין,בדין שמפו לכביסה עדינה רגיל 2 ליטר,ברקודים חדשים,,Bathroom
7290000127170.0,יוניליוור,778,778 ריבות קונפיטורות רגילות 400 גרם,ברקודים חדשים,מסמן בפועל,Groceries
7290000127194.0,יוניליוור,778,778 ריבות קונפיטורות רגילות 400 גרם,ברקודים חדשים,מסמן בפועל,Groceries
7290000127224.0,יוניליוור,778,778 ריבות קונפיטורות רגילות 400 גרם,ברקודים חדשים,מסמן בפועל,Groceries
7290000127651.0,יוניליוור,778,קונפיטורה פובידל 778 340 גר,ברקודים חדשים,מסמן בפועל,Groceries
7290000127705.0,יוניליוור,ורד הגליל,שוקולד מריר פרוה 600 גר,ברקודים חדשים,מסמן בפועל,Groceries
7290000129099.0,יוניליוור,קנור,קנור תיבוליות עשבי תיבול 72 גרם,ברקודים חדשים,מסמן בפועל,Groceries
7290000129457.0,יוניליוור,קנור,קנור קוק-IN-רטבים אבקת פטריות 28 גרם,ברקודים חדשים,מסמן בפועל,Groceries
7290000136004.0,טמפו,ג'אמפ,ג'אמפ לימונדה 1.5 תריסר,ברקודים חדשים,,Groceries
7290000136714.0,טמפו,ג'אמפ,ג'אמפ דיאט תפוזים 1.5 תריסר,ברקודים חדשים,,Groceries
7290000136721.0,טמפו,ג'אמפ,ג'אמפ תפוזים  1.5 תריסר,ברקודים חדשים,,Groceries
7290000136738.0,טמפו,ג'אמפ,ג'אמפ אשכוליות 1.5 תריסר,ברקודים חדשים,,Groceries
7290000136745.0,טמפו,ג'אמפ,ג'אמפ תות בננה 1.5 תריסר,ברקודים חדשים,,Fruits
7290000137513.0,יוניליוור,קרמיסימו,"קרמיסימו גלידונית 955 מ""ל",ברקודים חדשים,,Groceries
7290000137513.0,יוניליוור,קרמיסימו,"קרמיסימו גלידונית 955 מ""ל",ברקודים חדשים,,Groceries
7290000137643.0,יוניליוור,שטראוס,"שטראוס טעמקור 880 מ""ל",ברקודים חדשים,,Groceries
7290000143132.0,הנקל סוד,טום וג'רי,טום וג'רי שמפו,ברקודים חדשים,,Bathroom
7290000143149.0,הנקל סוד,טום וג'רי,טום וג'רי מרכך,ברקודים חדשים,,Bathroom
7290000143187.0,הנקל סוד,הוואי שמפו,הוואי שמפו לגבר,ברקודים חדשים,,Bathroom
7290000143194.0,הנקל סוד,הוואי שמפו,הוואי שמפו ומרכך 2 ב 1,ברקודים חדשים,,Bathroom
7290000143200.0,הנקל סוד,הוואי מרכך,הוואי מרכך לשיער יבש,ברקודים חדשים,,Bathroom
7290000143217.0,הנקל סוד,הוואי שמפו,הוואי שמפו לשיער יבש,ברקודים חדשים,,Bathroom
7290000143255.0,הנקל סוד,הוואי שמפו,הוואי שמפו לשיער רגיל,ברקודים חדשים,,Bathroom
7290000143262.0,הנקל סוד,הוואי לילדים,הוואי שמפו ילדים,ברקודים חדשים,,Bathroom
7290000143279.0,הנקל סוד,הוואי שמפו,הוואי שמ.קשקשים ח.סופר,ברקודים חדשים,,Groceries
7290000143279.0,הנקל סוד,הוואי שמפו,הוואי שמפו קשקשים,ברקודים חדשים,,Bathroom
7290000143286.0,הנקל סוד,הוואי מרכך,הוואי מרכך רגיל ח סופר,ברקודים חדשים,,Bathroom
7290000143286.0,הנקל סוד,הוואי מרכך,הוואי מרכך לשיער רגיל,ברקודים חדשים,,Bathroom
7290000143293.0,הנקל סוד,הוואי לילדים,הוואי מרכך ילדים,ברקודים חדשים,,Bathroom
7290000144467.0,שמן תעשיות,מותגים שונים,"שמן חמניות בריאות מהטבע ""עץ הזית""",ברקודים חדשים,מסמן על אריזות,Pantry
7290000144474.0,שמן תעשיות,מותגים שונים,"שמן קנולה בריאות מהטבע ""עץ הזית""",ברקודים חדשים,מסמן על אריזות,Pantry
7290000144825.0,שמן תעשיות,מותגים שונים,שמן קנולה בריאות מהטבע + אומגה 9,ברקודים חדשים,מסמן על אריזות,Pantry
7290000146645.0,הנקל סוד,הוואי מוצק,הוואי ס.מ שחור מסתורי,ברקודים חדשים,,Groceries
7290000146652.0,הנקל סוד,הוואי מוצק,הוואי ס.מ  ורוד רומנטי,ברקודים חדשים,,Groceries
7290000146669.0,הנקל סוד,הוואי מוצק,הוואי ס.מ שמיים כחולים,ברקודים חדשים,,Groceries
7290000146676.0,הנקל סוד,הוואי מוצק,הוואי ס.מ לגבר,ברקודים חדשים,,Groceries
7290000146683.0,הנקל סוד,הוואי מוצק,הוואי ס.מ  אפקט דאו',ברקודים חדשים,,Groceries
7290000146867.0,הנקל סוד,טום וג'רי,טום וג'רי ס.נוזלי,ברקודים חדשים,,Groceries
7290000146928.0,הנקל סוד,טום וג'רי,טום וג'רי מ.שינים ענב,ברקודים חדשים,,Groceries
7290000146973.0,עיסא ערטול,עיסא ערטול,מ.שיניין זברה 100 גרם 1/24,ברקודים חדשים,,Groceries
7290000146980.0,עיסא ערטול,עיסא ערטול,משחת שיניים פםלאוריד 1/24,ברקודים חדשים,,Bathroom
7290000146997.0,הנקל סוד,טום וג'רי,טום וג'רי מ.שיניים מסט,ברקודים חדשים,,Groceries
7290000150277.0,עוף טוב,עוף טוב,חזה הודו ברביקיו,ברקודים חדשים,,Groceries
7290000150352.0,עוף טוב,עוף טוב,פסטרמה איטלקית,ברקודים חדשים,,Groceries
7290000150369.0,עוף טוב,עוף טוב,פסטרמה מקסיקנית,ברקודים חדשים,,Groceries
7290000150451.0,עוף טוב,עוף טוב,נקניק סלמי איטלקי,ברקודים חדשים,,Meat
7290000150468.0,עוף טוב,עוף טוב,פסטרמה רומנית,ברקודים חדשים,,Groceries
7290000150598.0,עוף טוב,עוף טוב,נקניק סלמי כפרי פרוס ‏100‏ גר',ברקודים חדשים,,Meat
7290000150642.0,עוף טוב,עוף טוב,כתף בקר מעושן,ברקודים חדשים,,Groceries
7290000150765.0,עוף טוב,עוף טוב,סלמי תה פרוס 500  + ללא מדבקת מחיר,ברקודים חדשים,,Groceries
7290000150925.0,עוף טוב,עוף טוב,נקניק סלמי ירדן,ברקודים חדשים,,Meat
7290000150956.0,עוף טוב,עוף טוב,מקלוני קבנוס 160 גרם,ברקודים חדשים,,Groceries
7290000150963.0,עוף טוב,עוף טוב,פסטרמה ג'מבו,ברקודים חדשים,,Groceries
7290000151021.0,עוף טוב,עוף טוב,פסטרמה כפרית - 100גרם (שם חדש),ברקודים חדשים,,Groceries
7290000151052.0,עוף טוב,עוף טוב,פסטרמה בדבש טהור,ברקודים חדשים,,Groceries
7290000151106.0,עוף טוב,עוף טוב,פסטרמה אמריקאית,ברקודים חדשים,,Groceries
7290000151281.0,עוף טוב,עוף טוב,חזה הודו ברביקיו דל שומן,ברקודים חדשים,,Groceries
7290000151304.0,עוף טוב,עוף טוב,פסטרמה מקסיקנית - רובין,ברקודים חדשים,,Groceries
7290000151328.0,עוף טוב,עוף טוב,חזה הודו דל שומן,ברקודים חדשים,,Groceries
7290000151397.0,עוף טוב,עוף טוב,פסטרמה בדבש - רובין,ברקודים חדשים,,Groceries
7290000151540.0,עוף טוב,עוף טוב,פסטרמה הונגרית תיבול כפול,ברקודים חדשים,,Groceries
7290000151601.0,עוף טוב,עוף טוב,פסטרמה בדבש טהור,ברקודים חדשים,,Groceries
7290000151885.0,עוף טוב,עוף טוב,נקניק הודו למקרר,ברקודים חדשים,,Meat
7290000152028.0,עוף טוב,עוף טוב,חזה הודו מעושן,ברקודים חדשים,,Groceries
7290000152288.0,עוף טוב,עוף טוב,נקניקיות עוף 400 גר',ברקודים חדשים,,Meat
7290000152462.0,עוף טוב,עוף טוב,נקניק סלמי 700 גר' יחידות רובין,ברקודים חדשים,,Meat
7290000152608.0,עוף טוב,עוף טוב,נקניק תה ענק,ברקודים חדשים,,Meat
7290000152615.0,עוף טוב,עוף טוב,סלמי הונגרי מפולפל,ברקודים חדשים,,Groceries
7290000152943.0,עוף טוב,עוף טוב,מארז מעורב 700 גרם,ברקודים חדשים,,Groceries
7290000153445.0,עוף טוב,עוף טוב,קציצות בקר מתובלות 500 גרם מ-100% רכיבים טבעיים,ברקודים חדשים,,Groceries
7290000153469.0,עוף טוב,עוף טוב,קציצות עוף קלאסיות 600 גרם מ-100% רכיבים טבעיים,ברקודים חדשים,,Meat
7290000153698.0,עוף טוב,עוף טוב,כתף בקר מפולפל,ברקודים חדשים,,Groceries
7290000155524.0,עוף טוב,עוף טוב,פסטרמה פולנית,ברקודים חדשים,,Groceries
7290000155654.0,עוף טוב,עוף טוב,זוג נקניקיות  2X400 - ש. פרטי,ברקודים חדשים,,Meat
7290000155661.0,עוף טוב,עוף טוב,רביעיית נקניקיות  4X400,ברקודים חדשים,,Meat
7290000155807.0,עוף טוב,עוף טוב,מארז נקניקיות וינר 2X500,ברקודים חדשים,,Meat
7290000155814.0,עוף טוב,עוף טוב,פסטרמה ברביקיו - רובין,ברקודים חדשים,,Groceries
7290000155821.0,עוף טוב,עוף טוב,פסטרמה מעושנת - רובין,ברקודים חדשים,,Groceries
7290000155838.0,עוף טוב,עוף טוב,נקניק סלמי - רובין,ברקודים חדשים,,Meat
7290000156217.0,עוף טוב,עוף טוב,מקלוני קבנוס,ברקודים חדשים,,Groceries
7290000156545.0,עוף טוב,עוף טוב,פסטרמה מקסיקנית,ברקודים חדשים,,Groceries
7290000156729.0,עוף טוב,עוף טוב,זוגות סלמי+פסטרמה ‏600‏ג' -רובין (משקפיים),ברקודים חדשים,,Groceries
7290000156781.0,עוף טוב,עוף טוב,"שלישיית נקניקיות 1.2 ק""ג ‏‏ רובין",ברקודים חדשים,,Meat
7290000156934.0,עוף טוב,עוף טוב,פסטרמה כפרית - 400 גרם + ללא מדבקת מחיר,ברקודים חדשים,,Groceries
7290000158082.0,עוף טוב,עוף טוב,שניצל ביתי בציפוי שומשום ללא אנטיביוטיקה ומ-100% רכיבים טבעיים,ברקודים חדשים,,Meat
7290000158105.0,עוף טוב,עוף טוב,שניצל עוף מיני דינוזאור ללא אנטיביוטיקה ומ-100% רכיבים טבעיים,ברקודים חדשים,,Meat
7290000158211.0,עוף טוב,עוף טוב,שניצל עוף דק ענק ללא אנטיביוטיקה ומ-100% רכיבים טבעיים,ברקודים חדשים,,Meat
7290000158235.0,עוף טוב,עוף טוב,שניצל עוף דק צ'יפס ללא אנטיביוטיקה ומ-100% רכיבים טבעיים,ברקודים חדשים,,Meat
7290000158273.0,עוף טוב,עוף טוב,שניצל עוף ביתי מעודן ללא אנטיביוטיקה ומ-100% רכיבים טבעיים,ברקודים חדשים,,Meat
7290000159010.0,עוף טוב,עוף טוב,שניצל עוף מיני דובונים ללא אנטיביוטיקה ומ-100% רכיבים טבעיים,ברקודים חדשים,,Meat
7290000159034.0,עוף טוב,עוף טוב,שניצל עוף ביתי בציפוי קריספי ללא אנטיביוטיקה ומ-100% רכיבים טבעיים,ברקודים חדשים,,Meat
7290000159072.0,עוף טוב,עוף טוב,שניצלוני עוף ביתי בציפוי שומשום מ-100% רכיבים טבעיים,ברקודים חדשים,,Meat
7290000159096.0,עוף טוב,עוף טוב,חזה עוף צלוי בתיבול ברביקיו ללא אנטיביוטיקה ומ-100% רכיבים טבעיים,ברקודים חדשים,,Meat
7290000159423.0,עוף טוב,עוף טוב,קציצות עוף קלאסיות 400 גרם מ-100% רכיבים טבעיים,ברקודים חדשים,,Meat
7290000159447.0,עוף טוב,עוף טוב,מיני דינוזאור 400 גרם,ברקודים חדשים,,Groceries
7290000159515.0,עוף טוב,עוף טוב,קבנוס מופחת שומן רווי 120 גרם,ברקודים חדשים,,Groceries
7290000159539.0,עוף טוב,עוף טוב,קבנוס מופחת שומן רווי  ספייסי  120 גרם,ברקודים חדשים,,Groceries
7290000159591.0,עוף טוב,עוף טוב,ואקום מהדרין 300 גרם פסטרמה על גחלים ,ברקודים חדשים,,Groceries
7290000160252.0,יוניליוור,דאב,"דאב תרחיץ פנים רגיל 180 מ""ל",ברקודים חדשים,,Groceries
7290000160269.0,יוניליוור,דאב,"דאב תרחיץ פנים רגיש 180 מ""ל",ברקודים חדשים,,Groceries
7290000160450.0,יוניליוור,קנור,קנור תיבול צ'ילי ושום 63 גר,ברקודים חדשים,מסמן בפועל,Groceries
7290000160467.0,יוניליוור,קנור,קנור תערובת תיבול  גריל 49 גר,ברקודים חדשים,מסמן בפועל,Groceries
7290000160771.0,יוניליוור,תלמה,כריות וניל 750  גר,ברקודים חדשים,מסמן בפועל,Groceries
7290000161143.0,יוניליוור,בלו-בנד,בלו-בנד מרגרינה רגילה עם מלח 250 גרם,ברקודים חדשים,מסמן בפועל,Groceries
7290000161150.0,יוניליוור,בלו-בנד,בלו-בנד מרגרינה רגילה חלבית(ג בנד 250 גר,ברקודים חדשים,מסמן בפועל,Dairy
7290000161167.0,יוניליוור,בלו-בנד,בלו-בנד מרגרינה רגילה בטעם חמאה 250 גרם,ברקודים חדשים,מסמן בפועל,Groceries
7290000161358.0,יוניליוור,תלמה,מיונז אמיתי משמן קנולה 500 גר,ברקודים חדשים,מסמן בפועל,Pantry
7290000161648.0,יוניליוור,קליק,קליק חטיפי שוקולד 40 גרם,ברקודים חדשים,מסמן בפועל,Groceries
7290000162386.0,יוניליוור,הלמנס,הלמנס לסלט שום 300 גרם,ברקודים חדשים,מסמן בפועל,Groceries
7290000163024.0,יוניליוור,הלמנס,הלמנס סלט חרדל דבש לייט 305 מל,ברקודים חדשים,מסמן בפועל,Groceries
7290000165202.0,יוניליוור,בייגל בייגל,קרקר מלוח 120 גר,ברקודים חדשים,מסמן בפועל,Groceries
7290000165219.0,יוניליוור,בייגל בייגל,קרקר מלוח 120 גר,ברקודים חדשים,מסמן בפועל,Groceries
7290000165509.0,יוניליוור,פינוק,"פינוק תחליב רחצה ילדים עם קמומיל 700 מ""ל",ברקודים חדשים,,Groceries
7290000166148.0,יוניליוור,דאב,דאב רחצה תינוק 700ML,ברקודים חדשים,,Groceries
7290000166414.0,יוניליוור,מזולה,מזולה לאפיה 200 ג',ברקודים חדשים,מסמן בפועל,Groceries
7290000166421.0,יוניליוור,מזולה,מזולה לאפיה 200 ג',ברקודים חדשים,מסמן בפועל,Groceries
7290000166605.0,יוניליוור,סיף,סיף ניקוי כללי יסמין 4ל,ברקודים חדשים,,Groceries
7290000167503.0,יוניליוור,הלמנס,"הלמנס רטבי סלט רגילים 290 מ""ל",ברקודים חדשים,מסמן בפועל,Groceries
7290000168173.0,יוניליוור,תלמה,תלמה דגני מבוגרים קראנצ'ים 340ג,ברקודים חדשים,מסמן בפועל,Groceries
7290000168289.0,יוניליוור,פינוק,פינוק שמפו שמן מרוקאי 700 מל,ברקודים חדשים,,Pantry
7290000168296.0,יוניליוור,פינוק,פינוק מרכך שיער שמן מרוקאי 700 מל,ברקודים חדשים,,Pantry
7290000168302.0,יוניליוור,פינוק,פינוק סבון נוזלי שמן מרוקאי 700 מל,ברקודים חדשים,,Pantry
7290000168418.0,יוניליוור,קנור,"קנור סויה בסגנון סיני מופחת נתרן 300 מ""ל",ברקודים חדשים,מסמן בפועל,Groceries
7290000168425.0,יוניליוור,קנור,"קנור רוטב תיבול צ'ילי מופחת סוכר 300 מ""ל",ברקודים חדשים,מסמן בפועל,Groceries
